K,num_threads,mean,variance
12,29,0.000498,0.00000000018901121032
12,30,0.000496,0.00000000023887537228
12,31,0.000479,0.00000002528184602040
12,32,0.000436,0.00000000186982390477
12,33,0.000457,0.00000000031626829409
12,34,0.000449,0.00000000028865814212
12,35,0.000438,0.00000000034705096118
12,36,0.000437,0.00000000056868970366
12,37,0.000436,0.00000000067228514905
12,38,0.000409,0.00000000029485782237
12,39,0.000428,0.00000000026022578467
12,40,0.000401,0.00000000069204897187
16,1,0.006529,0.00000008101201820038
16,2,0.003328,0.00000005659245764862
16,3,0.002319,0.00000000074054071945
16,4,0.001787,0.00000001474486621720
16,5,0.001403,0.00000000125693943289
16,6,0.001210,0.00000000070777216851
16,7,0.001056,0.00000000446671130451
16,8,0.000937,0.00000000687885309144
16,9,0.000827,0.00000000090667654438
16,10,0.000755,0.00000000075377322541
16,11,0.000706,0.00000000083215707377
16,12,0.000644,0.00000000117604626823
16,13,0.000604,0.00000000147138819872
16,14,0.000577,0.00000000135585746058
16,15,0.000537,0.00000000070469194703
16,16,0.000540,0.00000001162302193838
16,17,0.000669,0.00000001661507718005
16,18,0.000524,0.00000000081638040370
16,19,0.000832,0.00000000023118761405
16,20,0.000855,0.00000000081110270077
16,21,0.000849,0.00000000049790449071
16,22,0.000802,0.00000000036329954301
16,23,0.000749,0.00000000043889345940
16,24,0.000817,0.00000006447146955157
16,25,0.000723,0.00000000036575925746
16,26,0.000744,0.00000001184444297958
16,27,0.000692,0.00000000073323312472
16,28,0.000627,0.00000000026384581151
16,29,0.000604,0.00000000033538434025
16,30,0.000587,0.00000000033858894822
16,31,0.000587,0.00000000033974050998
16,32,0.000557,0.00000000035180183883
16,33,0.000590,0.00000000136055814449
16,34,0.000590,0.00000000038703871966
16,35,0.000585,0.00000000027402688254
16,36,0.000650,0.00000006521726307258
16,37,0.000589,0.00000000081903228596
16,38,0.000552,0.00000000052485306112
16,39,0.000571,0.00000000038170446753
16,40,0.000620,0.00000010900692623045
32,1,0.013324,0.00000028981551668305
32,2,0.006704,0.00000012444138469117
32,3,0.004812,0.00000007570627567537
32,4,0.003911,0.00000000359431869191
32,5,0.003135,0.00000000635354209198
32,6,0.002648,0.00000001513032636493
32,7,0.002273,0.00000000435010158778
32,8,0.002166,0.00000016791593420523
32,9,0.002422,0.00000014030633189751
32,10,0.001980,0.00000003245958892053
32,11,0.001853,0.00000000772394120709
32,12,0.001833,0.00000006295046248950
32,13,0.001478,0.00000000034317788943
32,14,0.001565,0.00000019377356205218
32,15,0.001407,0.00000011211107564798
32,16,0.001088,0.00000000303090592350
32,17,0.001280,0.00000007733351097036
32,18,0.001523,0.00000002007325415764
32,19,0.001481,0.00000000048477723242
32,20,0.001432,0.00000000171047949318
32,21,0.001379,0.00000000960961069780
32,22,0.001411,0.00000000253137262483
32,23,0.001394,0.00000000708587422294
32,24,0.001354,0.00000000068467149034
32,25,0.001346,0.00000008346586007183
32,26,0.001193,0.00000000079545606040
32,27,0.001290,0.00000010849995448440
32,28,0.001198,0.00000002292541290845
32,29,0.001329,0.00000099083195095820
32,30,0.001099,0.00000001476717662458
32,31,0.001078,0.00000001597045209791
32,32,0.001159,0.00000004455290813867
32,33,0.001144,0.00000003311715806213
32,34,0.001141,0.00000031919200054516
32,35,0.001019,0.00000016922553181841
32,36,0.001009,0.00000003445219543130
32,37,0.001037,0.00000001618247973610
32,38,0.000964,0.00000001269765034206
32,39,0.001099,0.00000018023228639866
32,40,0.001436,0.00000243537224787314
64,1,0.028268,0.00000000313968697929
64,2,0.014995,0.00000142975580283440
64,3,0.010715,0.00000067633244834295
64,4,0.008565,0.00000041010494676865
64,5,0.007168,0.00000052825598739458
64,6,0.006194,0.00000015518989202938
64,7,0.005450,0.00000013540718650973
